Seat,x,y
currumbin,35,1.9
burleigh,32,1.9
mermaid beach,29,1.9
surfers paradise,26,1.9
mudgeeraba,23,1.9
gaven,20,1.9
southport,17,1.9
scenic rim,14,1.9
bonney,11,1.9
southern downs,8,1.9
broadwater,33.5,2.2
theodore,30.5,2.2
coomera,27.5,2.2
logan,24.5,2.2
jordan,21.5,2.2


algester,18.5,2.2
inala,15.5,2.2
bundamba,12.5,2.2
ipswich west,9.5,2.2
condamine,6.5,2.2
oodgeroo,32,2.5
redlands,29,2.5
macalister,26,2.5
springwood,23,2.5
waterford,20,2.5
woodridge,17,2.5
stretton,14,2.5
ipswich,11,2.5
toowoomba south,8,2.5
warrego,5,2.5
capalaba,30.5,2.8
mansfield,27.5,2.8
chatsworth,24.5,2.8
toohey,21.5,2.8
greenslopes,18.5,2.8
miller,15.5,2.8
south brisbane,12.5,2.8
lockyer,9.5,2.8

toowoomba north,6.5,2.8
lytton,29,3.1
bulimba,26,3.1
mcconnel,23,3.1
cooper,20,3.1
moggill,17,3.1
maiwar,14,3.1

mount ommaney,11,3.1
clayfield,27.5,3.4
nudgee,24.5,3.4
stafford,21.5,3.4
aspley,18.5,3.4
everton,15.5,3.4
ferny grove,12.5,3.4
redcliffe,26,3.7
sandgate,23,3.7
murrumba,20,3.7
bancroft,17,3.7
kurwongbah,14,3.7
pine rivers,11,3.7
pumicestone,24.5,4
morayfield,21.5,4
glass house,18.5,4
nanango,15.5,4
caloundra,23,4.3
kawana,20,4.3
buderim,17,4.3
maroochydore,14,4.3
ninderry,21.5,4.6
noosa,18.5,4.6
nicklin,15.5,4.6
gympie,12.5,4.6
hervey bay,20,4.9
maryborough,17,4.9
burnett,14,4.9
bundaberg,11,4.9
gladstone,18.5,5.2
keppel,15.5,5.2
rockhampton,12.5,5.2
callide,9.5,5.2
gregory,6.5,5.2
mirani,17,5.5
whitsunday,14,5.5
mackay,11,5.5
burdekin,8,5.5
mundingburra,15.5,5.8
townsville,12.5,5.8
thuringowa,9.5,5.8
hinchinbrook,14,6.1
hill,11,6.1
traeger,8,6.1
mulgrave,12.5,6.4
cairns,9.5,6.4
barron river,11,6.7
cook,9.5,7